time,Payload no,Payload Yes,p1,p2
756,71.61,98.75,28.39,1.25
757,59.5,99.5,40.5,0.5
758,41.22,98.75,58.78,1.25
759,38.4,99.25,61.6,0.75
760,58.65,99.25,41.35,0.75
761,72.61,98.75,27.39,1.25
762,69.85,99.5,30.15,0.5
763,68.42,99.5,31.58,0.5
764,66.16,99,33.84,1
765,50.25,98.25,49.75,1.75
766,50.25,78.39,49.75,21.61
767,50,89.97,50,10.03
768,49.25,99.5,50.75,0.5
769,66.83,99.25,33.17,0.75
770,69.92,99.5,30.08,0.5
771,69.19,96.28,30.81,3.72
772,72.84,99.25,27.16,0.75
773,71.5,99.5,28.5,0.5
774,70.22,99.25,29.78,0.75
775,72.8,98.75,27.2,1.25
776,72.66,79.2,27.34,20.8
777,72.43,51.92,27.57,48.08
778,69.1,99.5,30.9,0.5
779,35.07,95.48,64.93,4.52
780,28.54,99.24,71.46,0.76
781,47.74,99.5,52.26,0.5
782,46.97,99.25,53.03,0.75
783,47.49,99,52.51,1
784,54.25,97.99,45.75,2.01
785,69.39,99.5,30.61,0.5
786,66.5,99.5,33.5,0.5
787,48.49,99.5,51.51,0.5
788,47.99,99.75,52.01,0.25
789,49.11,99.5,50.89,0.5
790,49.37,98.5,50.63,1.5
791,49.25,99.25,50.75,0.75
792,49.37,99,50.63,1
793,49.37,99.25,50.63,0.75
794,49,98.5,51,1.5
795,49.37,0,50.63,100
796,49.25,99.5,50.75,0.5
797,71.5,99.75,28.5,0.25
798,74.62,99.75,25.38,0.25
799,74.31,99.75,25.69,0.25
800,74.31,91.98,25.69,8.02
801,74.62,60.46,25.38,39.54
802,74.69,92.71,25.31,7.29
803,65.91,99.25,34.09,0.75
804,99.5,99.5,0.5,0.5
805,93.37,99.5,6.63,0.5
806,74.75,82.91,25.25,17.09
807,52.91,98.99,47.09,1.01
808,56.23,99.25,43.77,0.75
809,74.37,88.69,25.63,11.31
810,75.7,79.5,24.3,20.5
811,88.83,74.69,11.17,25.31
812,99.75,79.9,0.25,20.1
813,97.22,99.24,2.78,0.76
814,99.5,99.5,0.5,0.5
815,81.91,99.25,18.09,0.75
816,63.03,98.75,36.97,1.25
817,74.94,99.25,25.06,0.75
818,67.68,98.99,32.32,1.01
819,68.35,99.25,31.65,0.75
820,69.5,99,30.5,1
821,71.25,99,28.75,1
822,63.66,99,36.34,1
823,46.02,99.25,53.98,0.75
824,36.16,99.24,63.84,0.76
825,52.63,99.25,47.37,0.75
826,70.3,99.5,29.7,0.5
827,71.07,99.25,28.93,0.75
828,69.92,99,30.08,1
829,28.5,99.5,71.5,0.5
830,70.82,97.74,29.18,2.26
831,69.92,99.5,30.08,0.5
832,69.35,99.75,30.65,0.25
833,70.63,99.5,29.37,0.5
834,71.54,99.75,28.46,0.25
835,73.07,99.25,26.93,0.75
836,74.75,99.5,25.25,0.5
837,74.56,98.75,25.44,1.25
838,73.87,99.24,26.13,0.76
839,50.13,99.5,49.87,0.5
840,49.62,99,50.38,1
841,47.86,99.5,52.14,0.5
842,43.39,99.25,56.61,0.75
843,69.08,99.25,30.92,0.75
844,70.6,91.18,29.4,8.82
845,71.79,91.75,28.21,8.25
846,72.29,99.5,27.71,0.5
847,72.43,98.99,27.57,1.01
848,70.93,99.24,29.07,0.76
849,70.25,98.75,29.75,1.25
850,69.6,99.5,30.4,0.5
851,72.29,99.25,27.71,0.75
852,71.64,99,28.36,1
853,73.12,99.5,26.88,0.5
854,72.26,99.25,27.74,0.75
855,74.75,98.76,25.25,1.24
856,74.87,99.5,25.13,0.5
857,74.19,99.25,25.81,0.75
858,72,98.5,28,1.5
859,71.21,99.5,28.79,0.5
860,72.25,97.5,27.75,2.5
861,72.01,99.5,27.99,0.5
862,75.19,99.5,24.81,0.5
863,73.68,99.5,26.32,0.5
864,74.19,99.5,25.81,0.5
865,74.69,99.25,25.31,0.75
866,74.13,99,25.87,1
867,74.62,98.99,25.38,1.01
868,73.93,98.75,26.07,1.25
869,73.8,99.25,26.2,0.75
870,74.5,99.5,25.5,0.5
871,83.17,98.75,16.83,1.25
872,99.5,98.5,0.5,1.5
873,99,98.74,1,1.26
874,99,99.5,1,0.5
875,89.42,99.25,10.58,0.75
876,74.87,99,25.13,1
877,69.41,99.25,30.59,0.75
878,90.4,99,9.6,1
879,99.5,92.21,0.5,7.79
880,99.24,92.29,0.76,7.71
881,98.76,99.5,1.24,0.5
882,99.25,99.25,0.75,0.75
883,98.25,98.75,1.75,1.25
884,99.5,99,0.5,1
885,99,99,1,1
886,99.25,99.5,0.75,0.5
887,99.25,99.5,0.75,0.5
888,83,98.75,17,1.25
889,98.74,99.5,1.26,0.5
890,99,97.49,1,2.51
891,99.5,99.75,0.5,0.25
892,99,99.75,1,0.25
893,74.69,99.5,25.31,0.5
894,68.84,93.23,31.16,6.77
